afid,number_occurences,affilname,affiliation_city,affiliation_country,city_country,lat,long
60028300,39,Iscte – Instituto Universitário de Lisboa,Lisbon,Portugal,"Lisbon, Portugal",38.7077507,-9.1365919
60011520,19,King's College London,London,United Kingdom,"London, United Kingdom",51.5073359,-0.12765
60013372,14,The University of Texas at Austin,Austin,United States,"Austin, United States",30.2711286,-97.7436995
60002644,12,Universitat de València,Valencia,Spain,"Valencia, Spain",39.4697065,-0.3763353
60021859,12,Università degli Studi di Firenze,Florence,Italy,"Florence, Italy",43.7698712,11.2555757
60006951,11,The University of North Carolina at Charlotte,Charlotte,United States,"Charlotte, United States",35.2272086,-80.8430827
60115928,11,Ivey Business School,London,Canada,"London, Canada",42.9832406,-81.243372
60000356,10,University of Cape Town,Cape Town,South Africa,"Cape Town, South Africa",-33.928992,18.417396
60027786,10,University of St. Gallen,St Gallen,Switzerland,"St Gallen, Switzerland",47.425618,9.3762397
60010844,9,Universitat d'Alacant,Alicante,Spain,"Alicante, Spain",38.3436365,-0.4881708
60022452,9,Wharton School of the University of Pennsylvania,Philadelphia,United States,"Philadelphia, United States",39.9527237,-75.1635262
60002014,8,The Royal Institute of Technology (KTH),Stockholm,Sweden,"Stockholm, Sweden",59.3251172,18.0710935
60011019,8,Queensland University of Technology,Brisbane,Australia,"Brisbane, Australia",-27.4689682,153.0234991
60019578,7,Monash University,Melbourne,Australia,"Melbourne, Australia",-37.8142454,144.9631732
60025761,7,Huazhong University of Science and Technology,Wuhan,China,"Wuhan, China",30.5951051,114.2999353
60107373,7,Indian Institute of Management Ranchi,Ranchi,India,"Ranchi, India",23.3700501,85.3250387
60113134,7,Beedie School of Business,Burnaby,Canada,"Burnaby, Canada",49.2433804,-122.972545
60138684,7,Isenberg School of Management,Amherst,United States,"Amherst, United States",37.5997548,-79.1483701
60003353,6,Harbin Engineering University,Harbin,China,"Harbin, China",45.7593633,126.6276177
60018491,6,Simon Fraser University,Burnaby,Canada,"Burnaby, Canada",49.2433804,-122.972545
60018805,6,Deakin University,Geelong,Australia,"Geelong, Australia",-38.1493248,144.3598241
60027552,6,Columbia Business School,New York,United States,"New York, United States",40.7127281,-74.0060152
60028163,6,Maastricht University School of Business and Economics,Maastricht,Netherlands,"Maastricht, Netherlands",50.85798545,5.6969881818221095
60028229,6,Universität Hamburg,Hamburg,Germany,"Hamburg, Germany",53.550341,10.000654
60033019,6,Universidad Pública de Navarra,Pamplona,Spain,"Pamplona, Spain",42.8181992,-1.6440089
60052098,6,Universidad Nacional de Colombia Medellin,Medellin,Colombia,"Medellin, Colombia",6.2697018,-75.60252574475943
60104665,6,Université de Lille,Lille,France,"Lille, France",50.6365654,3.0635282
60003771,5,The University of Manchester,Manchester,United Kingdom,"Manchester, United Kingdom",53.4794892,-2.2451148
60005581,5,Dongduk Women's University,Seoul,South Korea,"Seoul, South Korea",37.5666791,126.9782914
60006297,5,University of Pennsylvania,Philadelphia,United States,"Philadelphia, United States",39.9527237,-75.1635262
60011074,5,"Lingnan University, Hong Kong",Hong Kong,Hong Kong,"Hong Kong, Hong Kong",22.2793278,114.1628131
60018869,5,Universiteit Maastricht,Maastricht,Netherlands,"Maastricht, Netherlands",50.85798545,5.6969881818221095
60025239,5,Babson College,Babson Park,United States,"Babson Park, United States",27.837368,-81.52246115420687
60026553,5,University of Melbourne,Melbourne,Australia,"Melbourne, Australia",-37.8142454,144.9631732
60029885,5,Sichuan Agricultural University,Ya'an,China,"Ya'an, China",30.0130923,103.0402038
60030804,5,Swinburne University of Technology,Hawthorn,Australia,"Hawthorn, Australia",-37.8244246,145.0317207
60032607,5,University of the Sunshine Coast,Sippy Downs,Australia,"Sippy Downs, Australia",-26.7257935,153.07837089055133
60072255,5,Haldia Institute of Technology,Haldia,India,"Haldia, India",22.028124,88.0632655
60105899,5,"NOVA Information Management School, Universidade Nova de Lisboa",Lisbon,Portugal,"Lisbon, Portugal",38.7077507,-9.1365919
60116111,5,Joseph M. Katz Graduate School of Business,Pittsburgh,United States,"Pittsburgh, United States",40.4416941,-79.9900861
60136292,5,David Eccles School of Business,Salt Lake City,United States,"Salt Lake City, United States",40.7596198,-111.886797
60160279,5,The University of Queensland Business School,Brisbane,Australia,"Brisbane, Australia",-27.4689682,153.0234991
60000583,4,Wirtschaftsuniversität Wien,Vienna,Austria,"Vienna, Austria",48.2083537,16.3725042
60005244,4,Southeast University,Nanjing,China,"Nanjing, China",32.0615513,118.7915619
60005254,4,Università degli Studi di Bergamo,Bergamo,Italy,"Bergamo, Italy",45.756655699999996,9.754219200862249
60005870,4,Katholische Universität Eichstätt - Ingolstadt,Eichstatt,Germany,"Eichstatt, Germany",48.8933417,11.1838965
60007183,4,Luleå University of Technology,Lulea,Sweden,"Lulea, Sweden",65.5831187,22.1459535
60009669,4,Universidad de Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,Spain,"Las Palmas de Gran Canaria, Spain",28.1288694,-15.4349015
60016602,4,Rowan University,Glassboro,United States,"Glassboro, United States",39.7027677,-75.1119434
60019666,4,Harvard Business School,Boston,United States,"Boston, United States",42.3554334,-71.060511
60020903,4,California State University Channel Islands,Camarillo,United States,"Camarillo, United States",34.2176371,-119.0383541
60021097,4,University of Surrey,Guildford,United Kingdom,"Guildford, United Kingdom",51.2356068,-0.5732063
60022112,4,Universidad Popular Autónoma del Estado de Puebla,Puebla,Mexico,"Puebla, Mexico",18.833333,-98
60024063,4,University of Massachusetts Boston,Boston,United States,"Boston, United States",42.3554334,-71.060511
60024666,4,National Central University,Taoyuan,Taiwan,"Taoyuan, Taiwan",24.9929995,121.3010003
60027844,4,Universidad de Granada,Granada,Spain,"Granada, Spain",37.1734995,-3.5995337
60029284,4,University of Delhi,New Delhi,India,"New Delhi, India",28.6138954,77.2090057
60029336,4,Bournemouth University,Bournemouth,United Kingdom,"Bournemouth, United Kingdom",50.744673199999994,-1.85795768008541
60030398,4,Temple University,Philadelphia,United States,"Philadelphia, United States",39.9527237,-75.1635262
60030718,4,Freie Universität Berlin,Berlin,Germany,"Berlin, Germany",52.5170365,13.3888599
60031888,4,Saint Petersburg State University,Saint Petersburg,Russian Federation,"Saint Petersburg, Russian Federation",59.938732,30.316229
60097292,4,Robert H. Smith School of Business,College Park,United States,"College Park, United States",38.980666,-76.9369189
